branch_id,branch_name
109000,HEAD OFFICE
109001,MALAPPURAM MAIN
109002,MANJERI MAIN
109003,TIRUR MAIN
109004,PERINTALMANNA MAIN
109005,PONNANI MAIN
109006,NILAMBUR MAIN
109007,VALANCHERY
109008,KONDOTTY
109009,PARAPPANANGADI
109010,MARANCHERY
109011,KOLATHUR
109012,MANJERI EVENING
109013,TANUR
109014,VENGARA
109015,CHANGARAMKULAM
109016,TIRUR EVENING BRANCH
109017,EDAKKARA
109018,AREACODE
109019,WANDOOR
109020,KOTTAKKAL
109021,MELATTUR
109022,IDIMOOZHIKKAL
109023,PUTHANATHANI
109024,VAZHAKKAD
109025,AYIKKARAPPADI
109026,POOVATHANI
109027,KATTUPPARA
109028,MANKADA
109029,PERINTALMANNA LADIES
109030,EDAPPAL
109031,PANDIKKAD
109032,VAILATHUR
109033,PONNANI EVENING
109034,CHEMMAD
109035,NILAMBUR TOWN
109036,MONGAM
109037,ERAMANGALAM
109038,KUTTIPPURAM
109039,PANIKKOTTUMPADI
109040,MALAPPURAM KOTTAPPADI EVENING
109041,KARATHUR
109042,ANGADIPPURAM
109043,KADAMPUZHA
109044,KIZHISSERI
109045,POKOTTUMPADAM
109046,KALIKAVU
109047,MAMPAD
109048,TUVVUR
109049,MUNDAKKULAM BRANCH
109050,ATHANIKKAL BRANCH
109051,ALATHIYOOR BRANCH
109052,VELLIYAMPURAM BRANCH
109053,VENNIYOOR BRANCH
109054,KARULAI
